Gene	avg_logFC	p_val_adj	AUC_score	RNA_Cluster
IGFBP2	0.900054035885608	2.14130428753927e-84	0.785352598174579	Neu
LYZ	2.48624327967277	4.02062925573521e-82	0.92185033055096	Neu
SPI1	0.859376183742775	3.79823191291722e-81	0.892443561018261	Neu
CST7	1.28906163613586	3.22313145604412e-77	0.837753259905521	Neu
B4GALT5	0.77654880248021	1.02604372052643e-74	0.831952106279525	Neu
CFD	0.886645138877967	1.69498939753365e-73	0.809126477414972	Neu
FAM101B	1.02777352223093	1.24629467836965e-70	0.899323487045296	Neu
CTSG	1.86210124946795	2.53110244919481e-70	0.837640035980047	Neu
ELANE	3.18341350344749	1.91844946365165e-69	0.898400397541783	Neu
MPO	2.91663909891437	2.82962819249949e-69	0.907511778433358	Neu
FNDC3B	1.04344609702477	1.90767444325938e-68	0.844255772847645	Neu
MS4A3	0.853232847626037	4.49752485188625e-65	0.836259333111079	Neu
MCL1	1.26574710726608	4.59252228671331e-65	0.889537480264441	Neu
SRGN	1.61653823451353	1.06518524903515e-63	0.891487447869818	Neu
RNASE3	1.14124933727864	1.53370918682798e-61	0.768216471565069	Neu
SFPQ	1.0407340205153	6.31206716096761e-61	0.883127748039024	Neu
MYADM	0.87895347934953	1.03639494483757e-59	0.84687722123326	Neu
GNAS	0.838782165292544	1.42446682179751e-58	0.875997785843235	Neu
GNAI2	0.949993254316219	4.41237318218497e-57	0.869004635890726	Neu
CALR	1.27930551907557	7.01607415428759e-57	0.870728155645156	Neu
PRTN3	2.97348486372498	8.71558939537216e-56	0.82652836573844	Neu
RNASE2	1.65949781346637	1.87587040438202e-55	0.819884322889475	Neu
ADRBK1	0.982504213725636	2.12590630837112e-54	0.862036646810545	Neu
CSF3R	1.13433500909261	2.23110955323223e-54	0.861621492417142	Neu
RAB32	0.866543341534996	1.95142300040655e-53	0.822670889499739	Neu
HDGF	0.911656202194088	5.92707614787255e-53	0.855450788478837	Neu
EEF2	0.744083276298654	9.63084761837218e-52	0.854291815797254	Neu
TRIM28	0.924345429776655	2.99857408503012e-51	0.849103958434239	Neu
GPI	0.865435521005299	1.09640482174483e-50	0.847543984349937	Neu
CCDC88A	0.87679700832279	8.14902816275364e-50	0.843622033375897	Neu
C19orf43	0.757513706775268	1.65400828424201e-49	0.839286500562975	Neu
ZEB2	1.02336584395333	8.70059597736668e-49	0.84251495499349	Neu
LARP1	0.789852857450737	4.89600162240435e-48	0.835674342829466	Neu
COTL1	0.901441160056959	5.66512595990368e-48	0.827838303653988	Neu
BAZ1A	0.89691909721548	1.82804810673854e-47	0.829226869295558	Neu
ZFAND5	0.932542076132053	2.24579857647744e-47	0.83487548513307	Neu
C1QTNF4	1.13977092669471	2.81658476089472e-47	0.80303440120269	Neu
CITED2	0.918796971770399	4.04000086594473e-47	0.822908345232329	Neu
KHSRP	0.811160704222417	1.17085311220674e-46	0.82189562012115	Neu
CTBP1	0.720612019822111	2.19012440615843e-46	0.822273033206061	Neu
IRAK3	0.762693656358133	4.58790837971213e-46	0.824098769004321	Neu
PABPC4	0.863745768041981	5.14080261565892e-46	0.834312510614743	Neu
PABPN1	0.749943113991992	5.14697550767412e-46	0.825386691156582	Neu
PRAM1	0.807454687473582	1.14567040386572e-45	0.815375809079301	Neu
ACTN1	0.819301171696852	1.72152618587133e-45	0.818785107279669	Neu
JUND	1.39134547507221	7.54925609351168e-45	0.827058316611837	Neu
ZYX	0.783636977702872	7.93278028592956e-45	0.828542808079156	Neu
FAM120A	0.724358405185824	9.94406477839936e-45	0.81533964032533	Neu
RGCC	0.944288996805023	1.16317731800634e-44	0.746812431987017	Neu
DENND3	0.701808357202543	1.69051514075228e-44	0.799401800260415	Neu
IRF2BP2	0.736290932654632	1.88262820578855e-44	0.828222006956981	Neu
CANX	0.826179559244552	8.72496416147283e-44	0.827122791347176	Neu
VIM	0.862890765721431	2.8942448689927e-43	0.825359957729734	Neu
ACTR2	0.738737593833626	2.98149564790204e-43	0.824705775049221	Neu
MYO1F	0.744091951144619	6.05089501464221e-43	0.799826389980941	Neu
KCNAB2	0.702067734731132	9.18344456735978e-43	0.821101480088315	Neu
SEC63	0.744064900260448	3.33604202186762e-41	0.811202249381986	Neu
RREB1	0.72801471305878	2.30702759725609e-40	0.792103574730936	Neu
EIF3B	0.780415067938421	8.83476910063716e-40	0.798222384370066	Neu
HNRNPH1	0.754283641339391	9.62954500535025e-40	0.812565654151229	Neu
P4HB	0.945589229787382	1.71058751731384e-39	0.811262006453764	Neu
EMB	0.866221642104587	1.72733031034256e-39	0.803413386842122	Neu
YBX3	0.810318663209348	1.2544504057315e-38	0.806519182020041	Neu
EIF3A	0.814575862556389	1.54482715360074e-38	0.807745774546003	Neu
ANKRD11	0.749923739351118	3.13632745896661e-38	0.80171817306906	Neu
BZRAP1	0.86758911450066	4.38448849013566e-38	0.751869767324833	Neu
MBNL1	0.756313379920281	4.417228374121e-38	0.806228259433755	Neu
HNRNPU	0.870764138148607	4.44407092554651e-38	0.80580838737679	Neu
FOSB	1.616835158198	6.61700538788009e-38	0.800587506368846	Neu
HSP90B1	0.842579985831041	7.44334487705716e-38	0.805484441145574	Neu
NUFIP2	0.749285066151386	1.59748133450523e-37	0.796311730627701	Neu
APLP2	0.717852074043885	2.06351498758368e-37	0.80364297980211	Neu
MLEC	0.746258028116187	1.6687558231e-36	0.787139020109827	Neu
NFKBIZ	0.925915161394891	2.42293863909246e-36	0.795637104738421	Neu
EGR1	1.30893912336661	3.00667261271227e-35	0.762553702736874	Neu
NKTR	0.725254712034968	1.06392285997378e-34	0.793218515885946	Neu
PTBP1	0.763496063226968	2.61053560357141e-34	0.790619083263617	Neu
SRM	0.732225446675195	4.92825721922763e-34	0.754926813312617	Neu
RBM25	0.739260207360291	7.75100806173502e-32	0.781660240160526	Neu
MGST1	0.82170603606674	1.33650504517739e-31	0.774994181548274	Neu
FAM46A	0.832629790059362	9.68399449464387e-31	0.76179573145801	Neu
DDX21	0.825708012788512	2.34840640812742e-30	0.774858941859514	Neu
NXF1	0.943075331634358	5.39210457125701e-27	0.75540801499588	Neu
H1FX	0.703084290299725	5.98087780866919e-27	0.756263484655013	Neu
SLC25A37	0.739445462865238	7.24954453676133e-26	0.745810714757481	Neu
CLEC11A	1.27676844059405	2.052005950309e-24	0.744832585845751	Neu
KLF6	0.71872352915177	5.23190185749277e-23	0.742513067928065	Neu
PRSS57	0.747675319564517	2.6636123057489e-22	0.737938506828032	Neu
FOS	0.719432397698146	2.27963177786722e-19	0.724862715990363	Neu
HSPH1	0.878289954716544	1.0373759223437e-18	0.698286544594501	Neu
EREG	0.888151407876185	1.54932293712556e-17	0.711184636771357	Neu
JUN	0.791302677421381	1.56897601491913e-09	0.666432880227958	Neu
MMP9	0.760230613999541	2.78117763951533e-09	0.567053724752637	Neu
HSPA1B	0.903413903982891	3.54999250351548e-06	0.626024519270083	Neu
HSPA1A	0.74984275343903	0.00149400193342197	0.613840366845519	Neu
SPC25	0.727699327702181	4.23331070880283e-87	0.814077515545506	G2M
TK1	1.33724131670321	5.83128576376059e-87	0.907180963821368	G2M
CDCA5	0.704084123679504	1.81180126151252e-86	0.845226823063878	G2M
ASF1B	0.833053382496421	2.428736401654e-83	0.8705218343697	G2M
CENPM	0.990207850486892	2.919873310028e-80	0.880105285472018	G2M
CKAP2L	0.780796309482764	1.43867803964122e-76	0.78568576879593	G2M
TYMS	1.40499247276921	3.964373163422e-76	0.942762507066139	G2M
BIRC5	1.1172149353706	4.57494862507026e-76	0.871134821933296	G2M
UBE2C	1.49270889876146	3.35470972115914e-74	0.884991520633126	G2M
ESCO2	0.731070099692303	5.91276934148696e-74	0.776116449971735	G2M
AURKB	1.20442469971494	9.5444649818243e-74	0.843135245901639	G2M
ZWINT	0.931699571007201	1.05793328663136e-72	0.896572922555116	G2M
RRM2	1.15098757120278	1.53787470154638e-72	0.848431317128321	G2M
H2AFZ	1.25479513526935	1.96652063805965e-72	0.941548897682306	G2M
KIAA0101	1.27512333625512	1.05882577990422e-69	0.927353024307518	G2M
CKS1B	0.913217539208276	2.89634436256172e-69	0.905896693046919	G2M
RAD51AP1	0.716419682505875	3.19970222625394e-69	0.843258903335218	G2M
TOP2A	1.3955877911204	4.26626392670029e-68	0.875749010740531	G2M
CENPW	0.937015859716715	4.99806395784516e-67	0.883475833804409	G2M
CCNB2	0.953327170375577	4.45958713754964e-64	0.846827303561334	G2M
NUSAP1	1.54391916008554	5.49464575110142e-64	0.897797131147541	G2M
CDK1	0.750796479735415	3.32792226818935e-62	0.823268795929904	G2M
DUT	1.17755969102493	6.88614287310001e-62	0.908574759751272	G2M
GTSE1	0.829912080906294	7.21537517550104e-62	0.766421707179197	G2M
CENPU	0.863518229253297	2.54627042854536e-61	0.876374364047484	G2M
TUBB	1.16405706148195	3.62326669647495e-61	0.906914217071792	G2M
MKI67	1.0424656812182	3.28741592750403e-59	0.824572498586772	G2M
HMGB2	1.46477722500491	1.32099346301081e-57	0.895329282080271	G2M
STMN1	1.10185199372275	1.2557773135571e-56	0.892092990390051	G2M
CLSPN	0.937266944054159	2.91735144946962e-54	0.818363128886377	G2M
HMGN2	1.00941771686118	1.5519106397717e-53	0.881486715658564	G2M
CDKN3	0.989179841097805	1.34039607182043e-52	0.804301512153759	G2M
CENPF	1.22864550563222	9.23088814622524e-50	0.838913227812323	G2M
PCNA	1.01494787952957	1.74416417831772e-49	0.857949406444319	G2M
UBE2T	0.759956234047955	2.21383144002026e-49	0.823911814584511	G2M
TPX2	0.803668459562166	4.20933328511861e-48	0.806431953080837	G2M
MAD2L1	0.809586538599897	1.93693738537261e-47	0.840100339174675	G2M
HMGB1	0.809321105508988	1.57806897118607e-43	0.845841577162239	G2M
PRC1	0.797088160659487	2.51340512017558e-43	0.813800169587337	G2M
ATAD2	0.919279299924443	3.44803864137928e-42	0.830677642736009	G2M
TUBB4B	1.06705132802454	4.03846031602421e-41	0.831071579988694	G2M
SMC2	0.707616054094611	1.72175985137813e-40	0.812934567552289	G2M
RAN	0.741341336898171	2.06269858042605e-39	0.829918032786885	G2M
MCM7	0.786867536810716	2.10631058353286e-39	0.828589598643301	G2M
RANBP1	0.774264975453503	2.1310241399967e-39	0.824155596382137	G2M
TMPO	0.726063386502563	1.23537669318209e-38	0.822876625211984	G2M
MCM4	0.706039176376665	1.02576635836723e-36	0.80708027133974	G2M
CDC20	0.877680760082319	2.05309124469106e-36	0.734846664782363	G2M
LSM4	0.71664782049405	1.36772248387755e-34	0.807846947427925	G2M
PTTG1	1.21726131309403	1.98616802941419e-33	0.794037945166761	G2M
SMC1A	0.717710288759529	7.16018537092699e-33	0.79490708027134	G2M
HIST1H4C	1.46513607891958	3.17732398879422e-32	0.80030737704918	G2M
CKS2	0.827937730225908	7.45225683019431e-32	0.798572639909553	G2M
DNMT1	0.71947673439075	8.2986964339153e-32	0.797307801017524	G2M
HIST1H2AM	1.31018864543104	8.77016118402295e-32	0.794244629734313	G2M
HMMR	0.756936071825312	5.80412975572879e-31	0.705133550028265	G2M
SMC4	0.755632471148483	1.28043100000222e-26	0.772049886941775	G2M
HIST1H1B	0.914019370438175	2.7889380891849e-26	0.741923403052572	G2M
CCNB1	0.785018412887311	1.11155749547736e-21	0.714651639344262	G2M
HIST1H1D	0.829732237479055	8.15205042270553e-11	0.683903335217637	G2M
CYGB	1.22369891490643	3.14959664887795e-74	0.830169783215469	B-NK1
CD79A	1.5244702525246	6.03764167101796e-69	0.906622846978177	B-NK1
EBF1	0.852229174958544	1.84992177928564e-60	0.788031295645509	B-NK1
IL7R	1.1000559647272	7.72733649634655e-58	0.768945145848699	B-NK1
UMODL1	0.913427954029082	2.48227353267667e-53	0.763380913127106	B-NK1
LAT2	1.10489312664744	1.16711705469724e-51	0.879264465558882	B-NK1
DNTT	1.39250643643586	1.8064486431424e-51	0.874116013709922	B-NK1
HMGB1	0.825062170964774	2.38188432154948e-50	0.874943959969341	B-NK1
ACTG1	1.00465369478781	1.28045367178412e-49	0.87233719467222	B-NK1
CD99	1.16895215686201	1.54588054767814e-47	0.864806137648777	B-NK1
PAG1	0.913488483880564	2.6685857775602e-43	0.810459962109708	B-NK1
GLRX	1.15085159371869	1.03165724044933e-41	0.842162349776563	B-NK1
UHRF1	1.29015065974261	3.44311471009094e-41	0.82365829320144	B-NK1
ZCCHC7	1.29819111533672	4.86878150282596e-40	0.82659045222497	B-NK1
TMSB4X	0.828465601366842	7.05589695021128e-40	0.835661706220082	B-NK1
BLNK	1.03027930560909	2.02987494735423e-39	0.782608066872026	B-NK1
BAALC	1.18702144232438	5.57721809907122e-34	0.805315125746598	B-NK1
C5orf56	1.03082281892512	7.77279351518145e-31	0.787161771298827	B-NK1
VPREB1	0.865258673519307	3.42051925607227e-29	0.772267777343919	B-NK1
ADA	0.939376969168044	2.85866945772724e-28	0.782955153513529	B-NK1
JCHAIN	1.04406974935034	3.79670203736284e-23	0.727207977207977	B-NK1
IGLL1	1.03287692273859	3.37415302876905e-20	0.744705120974157	B-NK1
LTB	0.920672582582239	8.1823729549556e-20	0.692658394435044	B-NK1
P2RY14	0.92354886809457	1.54028217304502e-12	0.632426207933822	B-NK1
FBXW7	0.901008740798669	2.38366691124935e-08	0.642952694983152	B-NK1
P2RX1	0.755380140749289	4.3837007226065e-05	0.642650801914761	B-NK1
CRHBP	1.53389256708763	6.70239415865329e-65	0.911132123504382	HSC/MPP1
AVP	2.04932004522288	1.41280415098734e-54	0.882407171691457	HSC/MPP1
SELM	0.706157918929876	4.36741041703659e-53	0.68964250645525	HSC/MPP1
ALDH1A1	1.44923618050967	4.69039114712582e-42	0.842553733134524	HSC/MPP1
EIF1	0.824282592174634	5.42930192455418e-32	0.803658580936102	HSC/MPP1
MLLT3	0.817020358974258	3.33611665712467e-29	0.785249299923628	HSC/MPP1
BEX1	1.2319314035539	5.40107164306165e-27	0.761904935083827	HSC/MPP1
PCDH9	0.729359032281759	2.5775506691508e-26	0.733152707568098	HSC/MPP1
IDS	0.826865681466258	3.49709007031699e-25	0.768580208750045	HSC/MPP1
TFPI	0.831980890132989	1.9470037375779e-21	0.74248463468742	HSC/MPP1
FTH1	0.982000601615238	4.35958378349625e-19	0.740117103684038	HSC/MPP1
HIST1H1C	0.851321914861728	3.36651129607189e-17	0.728435829363203	HSC/MPP1
AREG	1.39626012328127	1.17539602250465e-16	0.711143033785504	HSC/MPP1
HIST1H2BG	0.847750308388145	1.72184372348776e-15	0.717532821762374	HSC/MPP1
TM4SF1	0.704840341041157	2.03792824627044e-15	0.668792959231916	HSC/MPP1
CXCL8	2.19222398534946	1.0403633425048e-10	0.673578935883915	HSC/MPP1
TSC22D3	0.707093394440441	8.79422875397339e-10	0.681548896243227	HSC/MPP1
DDIT3	0.832424199241344	1.59058762502314e-07	0.65998472560643	HSC/MPP1
INSIG1	0.747719812087305	0.00131583974435045	0.623271629632324	HSC/MPP1
ARPP21	2.56209462804005	1.08530069582577e-112	0.933714828327253	B-NK2
AKAP12	1.9302804979236	1.38737278434513e-86	0.805040231895647	B-NK2
LCN6	1.56534769178058	4.49141711506023e-79	0.847538607626568	B-NK2
CD9	2.99318252535384	3.28736153286717e-73	0.939739617172273	B-NK2
CD79B	3.02739823791224	6.63287764118639e-70	0.994192613324004	B-NK2
DUSP26	0.901535511561769	1.21929227829497e-69	0.641826178219801	B-NK2
VPREB1	2.82408810900179	1.59263310882032e-69	0.98301264431006	B-NK2
SH2D4B	0.815293401254113	5.99443400027013e-65	0.674136638512669	B-NK2
VPREB3	3.4714442993466	7.47249467428266e-64	0.937400669698636	B-NK2
EBF1	1.20473133053212	4.75591525419871e-62	0.842905692438403	B-NK2
LAPTM5	1.81975071104448	1.72562674194307e-60	0.981378379729122	B-NK2
MME	1.59184005732715	7.51595664131425e-58	0.846254185616473	B-NK2
DNTT	2.47205737577462	1.15770091647473e-55	0.956669498725573	B-NK2
CD79A	1.94210347456937	8.46197334795796e-54	0.924244090159428	B-NK2
P4HA2	1.25814172742109	3.38670818167979e-53	0.695267129791594	B-NK2
C10orf10	2.44075650044132	6.19124822142023e-52	0.853031135988805	B-NK2
HMHB1	1.30102830941446	4.54317717933037e-51	0.705455045229647	B-NK2
NEIL1	1.82344001241677	6.91179473328753e-51	0.827827477635064	B-NK2
HLA-DRA	1.21196371122745	1.05856192110897e-47	0.929616672497376	B-NK2
CD74	1.1697632552538	3.85516143248393e-45	0.918486680993553	B-NK2
PAX5	0.760634289434819	7.80874688421571e-45	0.70836123744315	B-NK2
RAG1	1.13132332939211	5.30298846837009e-44	0.715280623719326	B-NK2
MZB1	1.80190384283689	1.01337914492393e-40	0.89463491428857	B-NK2
H3F3B	0.815724518340663	3.69247454049406e-35	0.871982607826478	B-NK2
CD24	1.59693053454978	7.90933474297673e-34	0.772774751361887	B-NK2
IGLL1	1.91439099664325	3.52651196700988e-32	0.855614973262032	B-NK2
RAG2	0.865568959391619	6.96524317275869e-32	0.64644410015493	B-NK2
KIAA0226L	0.947214707348745	1.28970008882643e-30	0.671502823729322	B-NK2
FCMR	1.08977139100662	6.92158194925091e-30	0.720828127342696	B-NK2
TOP2B	1.32628522843658	3.03101974841846e-29	0.840736668499175	B-NK2
CXCR4	1.68344377257793	5.43723947519561e-28	0.830876105752411	B-NK2
TMSB10	0.773674059337949	5.47749854187245e-27	0.829116897396172	B-NK2
PTPRE	1.58354523248666	2.36767890763861e-26	0.82259733120096	B-NK2
FHIT	1.42692696784136	5.22161607467159e-26	0.799925033734819	B-NK2
SSBP2	1.26041637562804	1.49407616644042e-24	0.814278574641411	B-NK2
RCSD1	1.09815066666685	1.63053750698075e-24	0.814066170223399	B-NK2
ID3	0.96809384666155	5.38523277209591e-24	0.686990854115648	B-NK2
TMEM243	1.35659166260052	1.19086459924779e-23	0.787325703433455	B-NK2
HPS4	1.38320964419333	3.9905461285162e-22	0.7982158028887	B-NK2
FXYD2	1.01077697841606	9.89060130773549e-22	0.665977809985506	B-NK2
SNX2	1.12769217935908	3.5812037212561e-21	0.793130591233945	B-NK2
ZCCHC7	1.39418023175514	6.03853743380497e-21	0.785009245839372	B-NK2
SON	0.803875149178821	6.63318757104184e-21	0.79322804737868	B-NK2
ARHGDIB	0.730940279061682	1.78343688765097e-20	0.790529261832176	B-NK2
GAB1	1.14580035572222	1.80900492022046e-20	0.72378429706632	B-NK2
GNG11	1.3494397001906	3.98787215145588e-19	0.692848218301764	B-NK2
LAT2	0.934359813560994	5.5956823751442e-19	0.780698685591484	B-NK2
HLA-DPB1	0.752952067288209	1.14264758352686e-18	0.778894497476136	B-NK2
SOX4	0.986657977598482	1.19729900349083e-18	0.778764555949823	B-NK2
TCF4	0.922254871213218	2.65492124251913e-18	0.776085761407367	B-NK2
SH3BGRL3	0.77400309846311	3.52305008898026e-18	0.775665950322355	B-NK2
BLNK	1.18747187097595	1.32533129847045e-17	0.730106452096557	B-NK2
POU2AF1	0.727556228142448	3.68700522104406e-17	0.633924733869759	B-NK2
MDM2	0.956000614084171	6.560994465882e-17	0.749482732770253	B-NK2
HHIP	0.869156604305473	7.71922721026195e-17	0.630743665350592	B-NK2
CD99	0.771264775123427	1.45960331825259e-16	0.764705882352941	B-NK2
TP53INP1	0.889806112158319	2.0478549940162e-16	0.744030186416113	B-NK2
KIAA1033	0.967082257623101	5.30128182624597e-16	0.758383727322705	B-NK2
MLXIP	1.28398021097226	7.08283324717883e-16	0.75587985406567	B-NK2
TSPAN14	1.24888080635229	7.28188504100674e-16	0.740881603278525	B-NK2
GNG7	1.26445817304997	1.07254801956264e-15	0.716759958018891	B-NK2
CD22	0.76573348183041	1.10861560074479e-15	0.673534409515718	B-NK2
SOCS2	1.03023059276353	3.78567519337188e-15	0.746114248588135	B-NK2
UTRN	1.22899115205245	3.79093480383685e-15	0.753076115747913	B-NK2
TLE4	1.11357138788217	5.87738973463396e-15	0.745374581438353	B-NK2
MAP1LC3B	1.02335343407927	2.1692092857278e-14	0.748723074616423	B-NK2
GLRX	1.29165139166311	2.95054986734959e-14	0.747753510920086	B-NK2
LHPP	1.26035871311126	2.72452707030955e-13	0.6798340746664	B-NK2
CD72	0.726938973992886	3.27254991892707e-13	0.639842071068019	B-NK2
TCF3	1.12137786289033	8.85771544773913e-13	0.722579839072417	B-NK2
ISG20	1.43304957407946	2.49891614420609e-12	0.697333699835074	B-NK2
LEF1	0.842398194444769	2.90627426895701e-12	0.629444250087461	B-NK2
SH2D3C	0.842467631787504	9.87397367417708e-12	0.712349442750762	B-NK2
HLA-DMA	0.929985361997818	2.56052030848596e-11	0.72556849417762	B-NK2
RASD1	0.870101799795587	4.62909306213095e-11	0.660507771502824	B-NK2
C5orf56	0.934007058411123	9.67194946992915e-11	0.713134089659653	B-NK2
NPY	0.801957651256112	3.88653145353909e-10	0.593817781998101	B-NK2
MEF2C	0.824006080862822	4.20426235216177e-10	0.71544804837823	B-NK2
MDM4	0.858807776017623	8.51960321930613e-10	0.712354440501774	B-NK2
CMTM7	1.12512976430099	1.12504531610078e-09	0.705447548603129	B-NK2
TBC1D10C	0.895723065005631	1.56842740321326e-09	0.694060172922185	B-NK2
BACH2	0.727931594739243	2.08186352835294e-09	0.621712729271828	B-NK2
44089	0.759333626770478	2.63932812818848e-09	0.708601129491729	B-NK2
BTG2	0.986377614383666	3.14190047288148e-09	0.693922734769354	B-NK2
ELK3	1.23168530143506	4.98973561042908e-09	0.699657654055675	B-NK2
HLA-DRB5	0.876888730806405	6.33455680148759e-09	0.702421410365336	B-NK2
LIMD2	0.85200575356614	9.57479884685359e-09	0.703793293018142	B-NK2
SMAD1	1.18187841628246	1.17645584876651e-08	0.660402818731571	B-NK2
HIST1H2AC	1.19002840626638	1.31394838706339e-08	0.693405467539607	B-NK2
MYLK	0.820526189768094	1.8360194987913e-08	0.644794842320956	B-NK2
NR3C1	0.92911223058455	6.58400221724842e-08	0.692948173322005	B-NK2
MTF2	0.828550832999625	1.27062285575557e-07	0.693407966415113	B-NK2
QRSL1	1.16795391357659	1.35842122572893e-07	0.678609625668449	B-NK2
